Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
2,1,Picture,Trainungsbeginn,166,0,2,20729,3,0,next,other,0
2,1,Response,1,20846,20680,1,,,,,,
2,2,Picture,Start_1.Training,20895,0,1,17720,2,0,next,other,0
2,2,Response,1,38480,17585,2,,,,,,
2,3,Picture,Buchstabe,40788,2173,1,7857,2,2000,next,other,0
2,4,Picture,Buchstabe,50818,2173,1,7857,2,2000,next,other,0
2,5,Picture,T1_Setgroesse_2_Sequenz_LQ,58675,0,1,1170,2,0,next,other,0
2,5,Response,1,70763,12088,2,,,,,,
2,6,Picture,T1_1_BS_seq:_L,71045,0,1,167,2,0,next,other,0
2,6,Response,1,76024,4979,1,,,,,,
2,7,Picture,T1_1_BS_seq:_LQ,76227,0,1,167,2,0,next,other,0
2,7,Response,1,86442,10215,2,,,,,,
2,8,Picture,FB_corr,91606,5000,1,10030,2,5000,next,other,0
2,9,Picture,Buchstabe,113839,2173,1,7857,2,2000,next,other,0
2,10,Picture,Buchstabe,123869,2173,1,7857,2,2000,next,other,0
2,11,Picture,T1_Setgroesse_2_Sequenz_LS,131726,0,1,1170,2,0,next,other,0
2,11,Response,1,144621,12895,1,,,,,,
2,12,Picture,T1_2_BS_seq:_L,144932,0,1,167,2,0,next,other,0
2,12,Response,1,150291,5359,5,,,,,,
2,13,Picture,T1_2_BS_seq:_LS,150616,0,1,167,2,0,next,other,0
2,13,Response,1,158650,8034,2,,,,,,
2,14,Picture,FB_corr,163822,5000,1,10030,2,5000,next,other,0
2,15,Picture,Buchstabe,186055,2173,1,7857,2,2000,next,other,0
2,16,Picture,Buchstabe,196085,2173,1,7857,2,2000,next,other,0
2,17,Picture,Buchstabe,206115,2173,1,7856,3,2000,next,other,0
2,18,Picture,T1_Setgroesse_3_Sequenz_LKP,213971,0,2,1171,3,0,next,other,0
2,18,Response,1,224660,10689,1,,,,,,
2,19,Picture,T1_3_BS_seq:_L,224837,0,1,167,3,0,next,other,0
2,19,Response,1,238277,13440,2,,,,,,
2,20,Picture,T1_3_BS_seq:_LK,238545,0,1,167,2,0,next,other,0
2,20,Response,1,242301,3756,1,,,,,,
2,21,Picture,T1_3_BS_seq:_LKP,242557,0,1,167,2,0,next,other,0
2,21,Response,1,250244,7687,1,,,,,,
2,22,Picture,FB_corr,255261,5000,2,10030,4,5000,next,other,0
2,23,Picture,Buchstabe,277495,2174,1,7856,2,2000,next,other,0
2,24,Picture,Buchstabe,287524,2173,2,7857,3,2000,next,other,0
2,25,Picture,Buchstabe,297554,2173,2,7857,3,2000,next,other,0
2,26,Picture,T1_Setgroesse_3_Sequenz_FKP,305411,0,1,1170,2,0,next,other,0
2,26,Response,1,323473,18062,1,,,,,,
2,27,Picture,T1_4_BS_seq:_F,323799,0,2,168,3,0,next,other,0
2,27,Response,1,328115,4316,1,,,,,,
2,28,Picture,T1_4_BS_seq:_FK,328313,0,1,167,2,0,next,other,0
2,28,Response,1,332653,4340,2,,,,,,
2,29,Picture,T1_4_BS_seq:_FKP,332826,0,2,168,3,0,next,other,0
2,29,Response,1,341525,8699,2,,,,,,
2,30,Picture,FB_corr,346701,5000,1,10030,2,5000,next,other,0
2,31,Picture,Buchstabe,368934,2173,1,7857,2,2000,next,other,0
2,32,Picture,Buchstabe,378964,2173,1,7857,2,2000,next,other,0
2,33,Picture,Buchstabe,388994,2173,1,7857,2,2000,next,other,0
2,34,Picture,Buchstabe,399024,2173,1,7857,2,2000,next,other,0
2,35,Picture,T1_Setgroesse_4_Sequenz_JRFL,406881,0,1,1170,2,0,next,other,0
2,35,Response,1,420343,13462,1,,,,,,
2,36,Picture,T1_5_BS_seq:_J,420588,0,2,168,3,0,next,other,0
2,36,Response,1,426636,6048,1,,,,,,
2,37,Picture,T1_5_BS_seq:_JR,426941,0,1,167,2,0,next,other,0
2,37,Response,1,433444,6503,2,,,,,,
2,38,Picture,T1_5_BS_seq:_JRF,433627,0,1,167,3,0,next,other,0
2,38,Response,1,437777,4150,2,,,,,,
2,39,Picture,T1_5_BS_seq:_JRFL,437974,0,1,167,2,0,next,other,0
2,39,Response,1,445721,7747,1,,,,,,
2,40,Picture,FB_corr,450845,5000,2,10030,3,5000,next,other,0
2,41,Picture,Buchstabe,473078,2173,2,7857,3,2000,next,other,0
2,42,Picture,Buchstabe,483108,2173,2,7857,3,2000,next,other,0
2,43,Picture,Buchstabe,493138,2173,1,7857,2,2000,next,other,0
2,44,Picture,Buchstabe,503168,2173,1,7857,2,2000,next,other,0
