Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
1,58,Response,1,912089,39822,2,,,,,,
1,58,Response,1,924364,52097,1,,,,,,
1,59,Picture,T2_3_Loesung_5_Entscheidung:_richtig,924590,0,1,5015,2,0,next,other,0
1,60,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,929605,5000,1,10030,2,5000,next,other,0
1,61,Picture,T2_4_Gleichung:_(1*7)-2=?,949665,0,1,16549,2,0,next,other,0
1,61,Response,1,966140,16475,1,,,,,,
1,61,Response,1,979598,29933,56,,,,,,
1,62,Picture,T2_4_Loesung_5_Entscheidung:_richtig,979922,0,1,5015,2,0,next,other,0
1,63,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,984937,5000,1,10030,2,5000,next,other,0
1,64,Picture,T2_5_Gleichung:_(2/2)+9=?,1004997,0,1,29755,2,0,next,other,0
1,64,Response,1,1034616,29619,2,,,,,,
1,64,Response,1,1047918,42921,1,,,,,,
1,65,Picture,T2_5_Loesung_8_Entscheidung:_falsch,1048125,0,1,5015,2,0,next,other,0
1,66,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1053140,5000,1,10030,2,5000,next,other,0
1,67,Picture,T2_6_Gleichung:_(4/1)+2=?,1073200,0,1,55499,2,0,next,other,0
1,67,Response,1,1128559,55359,1,,,,,,
1,67,Response,1,1147766,74566,82,,,,,,
1,68,Picture,T2_6_Loesung_4_Entscheidung:_falsch,1148090,0,1,5015,2,0,next,other,0
1,69,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1153105,5000,1,10030,2,5000,next,other,0
1,70,Picture,T2_7_Gleichung:_(1*6)+2=?,1173165,0,1,17218,2,0,next,other,0
1,70,Response,1,1190236,17071,1,,,,,,
1,70,Response,1,1203432,30267,7,,,,,,
1,71,Picture,T2_7_Loesung_8_Entscheidung:_richtig,1203756,0,1,5015,2,0,next,other,0
1,72,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,1208771,5000,1,10030,2,5000,next,other,0
1,73,Picture,T2_8_Gleichung:_(4*2)-7=?,1228831,0,1,40621,2,0,next,other,0
1,73,Response,1,1269432,40601,1,,,,,,
1,73,Response,1,1281331,52500,66,,,,,,
1,74,Picture,T2_8_Loesung_1_Entscheidung:_richtig,1281655,0,1,5015,2,0,next,other,0
1,75,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,1286670,5000,1,10030,2,5000,next,other,0
1,76,Picture,T2_9_Gleichung:_(1*9)-2=?,1306730,0,1,17887,2,0,next,other,0
1,76,Response,1,1324500,17770,1,,,,,,
1,76,Response,1,1337665,30935,142,,,,,,
1,77,Picture,T2_9_Loesung_7_Entscheidung:_richtig,1337990,0,1,5015,2,0,next,other,0
1,78,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,1343005,5000,1,10030,2,5000,next,other,0
1,79,Picture,T2_10_Gleichung:_(1*7)-5=?,1363065,0,1,15713,2,0,next,other,0
1,79,Response,1,1378641,15576,2,,,,,,
1,79,Response,1,1395839,32774,128,,,,,,
1,80,Picture,T2_10_Loesung_1_Entscheidung:_falsch,1396163,0,1,5015,2,0,next,other,0
1,81,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1401178,5000,1,10030,2,5000,next,other,0
1,82,Picture,T2_11_Gleichung:_(2/2)+1=?,1421238,0,1,21732,2,0,next,other,0
1,82,Response,1,1442891,21653,2,,,,,,
1,82,Response,1,1457021,35783,105,,,,,,
1,83,Picture,T2_11_Loesung_4_Entscheidung:_falsch,1457346,0,1,5015,2,0,next,other,0
1,84,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1462361,5000,1,10030,2,5000,next,other,0
1,85,Picture,T2_12_Gleichung:_(1/1)+1=?,1482421,0,1,22065,2,0,next,other,0
1,85,Response,1,1504363,21942,1,,,,,,
1,85,Response,1,1517870,35449,110,,,,,,
1,86,Picture,T2_12_Loesung_1_Entscheidung:_falsch,1518194,0,1,5015,2,0,next,other,0
1,87,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1523209,5000,1,10030,2,5000,next,other,0
1,88,Picture,T2_13_Gleichung:_(1*1)+3=?,1543269,0,1,29086,3,0,next,other,0
1,88,Response,1,1572228,28959,2,,,,,,
1,88,Response,1,1592258,48989,83,,,,,,
1,89,Picture,T2_13_Loesung_6_Entscheidung:_falsch,1592582,0,2,5015,3,0,next,other,0
1,90,Picture,T2_FB_corr__entscheidung:_falsch__CorEnt_F,1597597,5000,1,10030,2,5000,next,other,0
1,91,Picture,T2_14_Gleichung:_(2*2)+2=?,1617657,0,1,21732,2,0,next,other,0
1,91,Response,1,1639269,21612,2,,,,,,
1,91,Response,1,1651602,33945,43,,,,,,
1,92,Picture,T2_14_Loesung_6_Entscheidung:_richtig,1651926,0,1,5015,2,0,next,other,0
1,93,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,1656941,5000,1,10030,2,5000,next,other,0
1,94,Picture,T2_15_Gleichung:_(6*1)+2=?,1677001,0,1,26412,2,0,next,other,0
1,94,Response,1,1703308,26307,1,,,,,,
1,94,Response,1,1714957,37956,108,,,,,,
1,95,Picture,T2_15_Loesung_8_Entscheidung:_richtig,1715282,0,1,5015,2,0,next,other,0
1,96,Picture,T2_FB_corr__entscheidung:_richtig__CorEnt_R,1720297,5000,1,10030,2,5000,next,other,0
1,97,Picture,Mean_Rechenzeit:_3148_Standard_4861,1740356,0,2,1171,3,0,next,other,0
1,98,Picture,Start_3.Training,1741527,0,1,34436,2,0,next,other,0
1,98,Response,1,1775905,34378,2,,,,,,
1,99,Picture,T3_1_1_Gleichung:_(3*2)-4=?,1775963,0,1,80239,2,0,next,other,0
1,99,Response,1,1857475,81512,2,,,,,,
1,99,Response,1,1874266,98303,22,,,,,,
1,100,Picture,T3_1_1_Loesung_3_Entscheidung:_falsch,1874590,0,1,167,2,0,next,other,0
1,101,Picture,T3_FB_corr__entscheidung:_falsch__CorEnt_F,1874757,0,1,1170,3,0,next,other,0
1,102,Picture,Buchstabe,1888131,2174,1,7856,2,2000,next,other,0
1,103,Picture,T3_1_2_Gleichung:_(5*1)+5=?,1895987,0,1,71881,2,0,next,other,0
1,103,Response,1,1967821,71834,1,,,,,,
1,103,Response,1,1982923,86936,62,,,,,,
